Respondent,Genre1,Genre2,Genre3,Genre4,XVar1,XVar2,XVar3,XVar4,XVar5,XVar6,XVar7,XVar8,XVar9,XVar10,XVar11,XVar12,XVar13,XVar14,XVar15,XVar16,XVar17,XVar18,XVar19,XVar20,XVar21,XVar22,XVar23
133815.2,0,0.1933862,0,0,0.3421053,0.368421,0.6666667,0.3,0,0,0,0.6309683,0.6685813,0.3789489,0.3789489,1,1,1,0,0,0,0,0,0,0,0,0
65718.2,0,0.1933862,0,0,0.4736842,0.6842105,0.6666667,0.7,1,0,0,0.334672,0.6685813,0.1435956,0.3789489,1,1,0,1,0,0,0,0,1,0,0,1
92077.2,0,1,0,0,0.3421053,0.2105263,0.5333333,0.5,0,0,0,0.6309683,0,0.3789489,1,1,1,0,0,1,0,0,1,0,0,0,0
112424.2,0,0,0,0,0.4473684,0.5263158,0.6666667,0.5,0,0,0,0.2943998,0.3789489,0.3789489,0.1435956,0,1,0,0,1,0,0,0,0,0,0,0
90431.2,0,0.1933862,0.1933862,1,0.5,0.1578947,0.6666667,0.3,0,0.5,0,0.519411,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1
24388.2,0,0.669503,0,1,0.7894737,0.4736842,0.6666667,0.3,0,0,0,0.519411,0,1,0.6685813,0,1,0,0,1,0,0,1,0,0,0,0
78809.2,0,0,0,0,0.1842105,0.3157895,0.5333333,0,0,0,0,0,0.6685813,0.3789489,0.3789489,0,1,0,0,0,0,1,1,0,0,0,0
88459.1,0.1933862,0.669503,0.1933862,0,0.3947368,1,0.7333333,0.3,0,0,0,0.519411,0.6685813,0.1435956,0.1435956,1,1,0,0,1,0,0,1,0,0,1,1
22774.1,0,0.669503,0,1,0.6578947,0.5789474,0.7333333,0.5,0,0.5,0,0.1115573,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
103754.2,0,0,0,0,0.6578947,0.5263158,0.5333333,0.3,1,0.5,0,0.7768853,0,0,0.6685813,0,1,0,0,1,0,0,0,0,0,0,0
78618.2,0,0.1933862,0,1,0.4210526,0.5263158,0.5333333,0,0,0,0,0.1115573,0.3789489,0.1435956,0.1435956,0,1,0,0,0,1,0,1,0,0,0,1
46622.2,0,0,0,0,0.3947368,0.4736842,0.3333333,0,1,0,1,0.2943998,0.6685813,1,0.1435956,0,1,0,0,0,1,0,0,0,0,0,0
99529.1,0,0.1933862,0,1,0.2105263,0.5789474,0.5333333,0,1,0,1,0.2943998,0.6685813,0.1435956,0.6685813,1,1,0,0,0,0,1,1,0,0,0,1
89998.2,0,0,0,0,0.1578947,0.1052632,0.5333333,0,0,0,0,0.2943998,0.6685813,0.6685813,0.1435956,1,1,0,0,0,1,0,0,0,1,0,0
51849.2,0,1,0.3867724,0,0.5,0.4736842,0.3333333,1,1,0,1,0.7425257,0.6685813,0.6685813,0.1435956,0,1,0,0,0,1,0,1,0,0,0,1
9296.2,0,0,0,0,0.1842105,0.2105263,0.5333333,0,1,0,1,0.1115573,0.3789489,0.3789489,0.3789489,0,1,0,0,0,0,1,0,1,0,0,0
17490.2,0,0,0,0,0.0526316,0.2631579,0.3333333,0,0,0,0,0,0.6685813,0.6685813,0.1435956,0,1,0,1,1,0,0,0,1,0,1,0
24053.2,0,0,0.1933862,0,0.4210526,0.1578947,0.3333333,0.5,0,1,1,0.1115573,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
90158.2,0,0.1933862,0,0,0.4210526,0.7368421,0.3333333,0,0,0,0,0,1,0.3789489,0.6685813,1,1,0,0,0,1,0,1,0,0,0,0
9298.2,0,0.1933862,0,0,0.2631579,0.2105263,0.5333333,0,0,0.5,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
50617.1,0,1,0,0,0.0526316,0.5789474,0.3333333,0,0,0,0,0.1115573,0.3789489,0.6685813,0.1435956,1,1,0,0,0,0,1,0,1,0,1,0
92997.2,0,1,0,0,0.4473684,0.6315789,0.5333333,0,0,1,0,0.2943998,0.1435956,0.3789489,0.6685813,1,1,0,0,1,0,0,1,0,0,1,1
2262.2,0,0.1933862,0,0,0.3421053,0.3157895,0.6666667,0.8,0,0,0,0.8884427,0,0,0.3789489,0,1,0,1,0,0,0,1,0,0,0,0
73197.2,0,0.1933862,0,1,0.3421053,0.2105263,0.5333333,0.5,1,0,0,0,0.3789489,0.1435956,0.3789489,0,1,0,0,1,0,0,0,1,0,1,0
143834.2,0,0,0,0,0.4210526,0.2631579,0.6666667,0,1,0,0,0.1115573,0.6685813,0.6685813,0.6685813,1,1,0,1,0,0,0,0,0,0,0,0
56658.1,0,0.1933862,0,0,0.2368421,0.368421,0.7333333,1,1,0,0,0.6309683,0,0.1435956,0.3789489,1,1,0,0,0,0,1,0,1,0,1,1
51243.2,0,0,0,0,0.1842105,0.2105263,0.5333333,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0
53182.2,0,0,0,0,0.0789474,0.4736842,0,0.5,0,0,0,0.1115573,0.3789489,0.3789489,0.3789489,0,1,0,0,0,0,1,1,0,0,0,0
103526.2,0,0,0,0,0.5526316,0.5263158,0.6666667,0,0,1,0,0.1115573,0.1435956,0.6685813,0.3789489,1,1,0,0,1,0,0,1,0,0,1,0
14927.2,0.669503,0.1933862,0,0,0.2105263,0.8947368,0.6666667,0,1,0,0,0.2943998,0.1435956,0.1435956,0.6685813,1,1,0,0,0,1,0,1,0,0,0,1
7407.2,0,0,0,0,0.3421053,0,0.3333333,0.5,0,0,0,0,0.1435956,1,0.1435956,0,1,0,0,0,0,1,0,0,1,0,0
68937.2,0,0.1933862,0,1,0.2894737,0.4736842,0.7333333,0.5,0,0,0,0.4059572,0.6685813,0.3789489,0.3789489,0,1,0,0,0,1,0,0,1,0,0,0
3758.2,0,0,0,0,0.1315789,0.1052632,0.3333333,0,0,0,0,0,1,0.3789489,0.3789489,0,1,0,0,0,0,1,0,1,0,0,0
95143.2,0.1933862,0.1933862,0,0,0.1842105,0.6315789,0.3333333,0.5,0,0,1,0.1115573,0.3789489,0.6685813,0.1435956,1,1,0,1,1,0,0,1,0,0,0,0
81138.2,0,0.669503,0,1,0.5,0.368421,0.5333333,0.5,0,0.5,0,0,0.3789489,0.1435956,0.3789489,0,1,0,0,0,1,0,1,0,0,1,0
49585.1,0.3867724,0.669503,0,1,0.368421,0.3157895,0.7333333,0.2,1,0,0,0.2231147,0.1435956,0.1435956,0.6685813,0,1,0,1,0,0,0,0,1,0,1,1
62993.2,0,0.1933862,0.1933862,1,0.8421052,0.3157895,0.2,1,1,1,1,0.8884427,0,0.1435956,1,1,1,0,0,1,0,0,0,1,0,0,0
50248.2,0,0,0,0,0.3421053,0.5789474,0.3333333,0.2,1,0.5,0,0.4059572,0.3789489,0.1435956,0.6685813,0,1,0,0,0,0,1,1,0,0,0,0
36543.2,0,0.669503,0,1,0.3157895,0.1578947,0.6666667,0.3,0,0,1,0.7768853,0.3789489,0.3789489,0.3789489,1,1,0,0,0,0,1,0,0,0,0,0
50821.1,0.1933862,0,0.1933862,0,0.0526316,0.1578947,0.3333333,0.2,1,0,0,0.5175145,0.6685813,0.3789489,0.3789489,1,1,0,0,0,0,1,0,1,0,0,0
